Name,ChrNr,Resolution,n,WN,WS,binNrStart,binNrEnd,START,END,S
G401_BR1,14,40000,316.0,949,2,1,375,0,15000000,3.4294167711182673
G401_BR1,14,40000,316.0,949,2,3,377,80000,15080000,3.41750536291078
G401_BR1,14,40000,316.0,949,2,57,379,2240000,15160000,3.4030795442349002
G401_BR1,14,40000,316.0,949,2,59,381,2320000,15240000,3.3903747016510417
G401_BR1,14,40000,316.0,949,2,61,383,2400000,15320000,3.3776006059773844
G401_BR1,14,40000,316.0,949,2,63,385,2480000,15400000,3.3620531850119524
G401_BR1,14,40000,316.0,949,2,65,387,2560000,15480000,3.3460928165123778
G401_BR1,14,40000,316.0,949,2,67,389,2640000,15560000,3.3382684255627435
G401_BR1,14,40000,316.0,949,2,73,391,2880000,15640000,3.3265820348022386
G401_BR1,14,40000,316.0,949,2,75,393,2960000,15720000,3.3206925890210535
G401_BR1,14,40000,316.0,949,2,77,395,3040000,15800000,3.311494768836366
G401_BR1,14,40000,316.0,949,2,79,397,3120000,15880000,3.3006486630316054
G401_BR1,14,40000,316.0,949,2,81,399,3200000,15960000,3.2946025843570426
G401_BR1,14,40000,316.0,949,2,83,401,3280000,16040000,3.2835924408345236
G401_BR1,14,40000,316.0,949,2,85,403,3360000,16120000,3.2744367457306622
G401_BR1,14,40000,316.0,949,2,87,405,3440000,16200000,3.2602317921735096
G401_BR1,14,40000,316.0,949,2,92,407,3640000,16280000,3.241952594882067
G401_BR1,14,40000,316.0,949,2,94,409,3720000,16360000,3.231211078750558
G401_BR1,14,40000,316.0,949,2,96,411,3800000,16440000,3.2292155853453277
G401_BR1,14,40000,316.0,949,2,98,413,3880000,16520000,3.223945422568487
G401_BR1,14,40000,316.0,949,2,100,415,3960000,16600000,3.219463925829709
G401_BR1,14,40000,316.0,949,2,102,417,4040000,16680000,3.221181079742063
G401_BR1,14,40000,316.0,949,2,104,419,4120000,16760000,3.2203273970564092
G401_BR1,14,40000,316.0,949,2,106,421,4200000,16840000,3.2241633454623835
G401_BR1,14,40000,316.0,949,2,108,423,4280000,16920000,3.2249712754525874
G401_BR1,14,40000,316.0,949,2,110,425,4360000,17000000,3.230994722278905
G401_BR1,14,40000,316.0,949,2,112,427,4440000,17080000,3.2324215456421546
G401_BR1,14,40000,316.0,949,2,114,429,4520000,17160000,3.2320898396008655
G401_BR1,14,40000,316.0,949,2,116,431,4600000,17240000,3.2316748915076685
G401_BR1,14,40000,316.0,949,2,118,433,4680000,17320000,3.2345925283106918
G401_BR1,14,40000,316.0,949,2,120,435,4760000,17400000,3.2346600791079836
G401_BR1,14,40000,316.0,949,2,122,437,4840000,17480000,3.233795219157547
G401_BR1,14,40000,316.0,949,2,124,439,4920000,17560000,3.2282530310507744
G401_BR1,14,40000,316.0,949,2,126,441,5000000,17640000,3.223175050077356
G401_BR1,14,40000,316.0,949,2,128,443,5080000,17720000,3.225400755039835
G401_BR1,14,40000,316.0,949,2,130,445,5160000,17800000,3.2235251136448113
G401_BR1,14,40000,316.0,949,2,132,447,5240000,17880000,3.2218418795622816
G401_BR1,14,40000,316.0,949,2,134,449,5320000,17960000,3.221451725488688
G401_BR1,14,40000,316.0,949,2,136,451,5400000,18040000,3.214920043257417
G401_BR1,14,40000,316.0,949,2,138,453,5480000,18120000,3.212939849539726
G401_BR1,14,40000,316.0,949,2,140,455,5560000,18200000,3.2082416044364757
G401_BR1,14,40000,316.0,949,2,142,457,5640000,18280000,3.203624573275364
G401_BR1,14,40000,316.0,949,2,144,459,5720000,18360000,3.205447048629079
G401_BR1,14,40000,316.0,949,2,146,461,5800000,18440000,3.2014479727147505
G401_BR1,14,40000,316.0,949,2,148,463,5880000,18520000,3.2060647823125623
G401_BR1,14,40000,316.0,949,2,150,465,5960000,18600000,3.2104601044304064
G401_BR1,14,40000,316.0,949,2,152,467,6040000,18680000,3.2154460818635577
G401_BR1,14,40000,316.0,949,2,154,469,6120000,18760000,3.2197474167704048
G401_BR1,14,40000,316.0,949,2,156,471,6200000,18840000,3.2250922599913427
G401_BR1,14,40000,316.0,949,2,158,473,6280000,18920000,3.2296325195334226
G401_BR1,14,40000,316.0,949,2,160,475,6360000,19000000,3.233076999935189
G401_BR1,14,40000,316.0,949,2,162,477,6440000,19080000,3.2353960688622316
G401_BR1,14,40000,316.0,949,2,164,479,6520000,19160000,3.237886689955815
G401_BR1,14,40000,316.0,949,2,166,481,6600000,19240000,3.24370594869021
G401_BR1,14,40000,316.0,949,2,168,483,6680000,19320000,3.2454938578748593
G401_BR1,14,40000,316.0,949,2,170,485,6760000,19400000,3.2435604356949437
G401_BR1,14,40000,316.0,949,2,172,487,6840000,19480000,3.2364904269443615
G401_BR1,14,40000,316.0,949,2,174,489,6920000,19560000,3.2352088703324684
G401_BR1,14,40000,316.0,949,2,176,491,7000000,19640000,3.238226742284833
G401_BR1,14,40000,316.0,949,2,178,493,7080000,19720000,3.23306015049895
G401_BR1,14,40000,316.0,949,2,180,495,7160000,19800000,3.2336535068433507
G401_BR1,14,40000,316.0,949,2,182,497,7240000,19880000,3.233949258310295
G401_BR1,14,40000,316.0,949,2,184,499,7320000,19960000,3.2408258565580192
G401_BR1,14,40000,316.0,949,2,186,501,7400000,20040000,3.2476875318136282
G401_BR1,14,40000,316.0,949,2,188,503,7480000,20120000,3.2560419243826044
G401_BR1,14,40000,316.0,949,2,190,505,7560000,20200000,3.2680270209397997
G401_BR1,14,40000,316.0,949,2,192,507,7640000,20280000,3.2786313043996183
G401_BR1,14,40000,316.0,949,2,194,509,7720000,20360000,3.2856430046255998
G401_BR1,14,40000,316.0,949,2,196,511,7800000,20440000,3.2899158614145154
G401_BR1,14,40000,316.0,949,2,198,513,7880000,20520000,3.2893455666770697
G401_BR1,14,40000,316.0,949,2,200,515,7960000,20600000,3.2901723685961053
G401_BR1,14,40000,316.0,949,2,202,517,8040000,20680000,3.2942041435221907
G401_BR1,14,40000,316.0,949,2,204,519,8120000,20760000,3.29984522722438
G401_BR1,14,40000,316.0,949,2,206,521,8200000,20840000,3.3004761264572138
G401_BR1,14,40000,316.0,949,2,208,523,8280000,20920000,3.2996663890609113
G401_BR1,14,40000,316.0,949,2,210,525,8360000,21000000,3.2958442948802746
G401_BR1,14,40000,316.0,949,2,212,527,8440000,21080000,3.288503330719446
G401_BR1,14,40000,316.0,949,2,214,529,8520000,21160000,3.2776448660211366
G401_BR1,14,40000,316.0,949,2,216,531,8600000,21240000,3.268919947749518
G401_BR1,14,40000,316.0,949,2,218,533,8680000,21320000,3.2650997819882144
G401_BR1,14,40000,316.0,949,2,220,535,8760000,21400000,3.2654694359675522
G401_BR1,14,40000,316.0,949,2,222,537,8840000,21480000,3.2634519687727823
G401_BR1,14,40000,316.0,949,2,224,539,8920000,21560000,3.259457669917623
G401_BR1,14,40000,316.0,949,2,226,541,9000000,21640000,3.2529883923044474
G401_BR1,14,40000,316.0,949,2,228,543,9080000,21720000,3.247755136561571
G401_BR1,14,40000,316.0,949,2,230,545,9160000,21800000,3.247329417804792
G401_BR1,14,40000,316.0,949,2,232,547,9240000,21880000,3.2422277672682998
G401_BR1,14,40000,316.0,949,2,234,549,9320000,21960000,3.2482099096745234
G401_BR1,14,40000,316.0,949,2,236,551,9400000,22040000,3.2547886866714153
G401_BR1,14,40000,316.0,949,2,238,553,9480000,22120000,3.265342879986962
G401_BR1,14,40000,316.0,949,2,240,555,9560000,22200000,3.27185256161396
G401_BR1,14,40000,316.0,949,2,242,557,9640000,22280000,3.279263005794728
G401_BR1,14,40000,316.0,949,2,244,559,9720000,22360000,3.2922507637317153
G401_BR1,14,40000,316.0,949,2,246,561,9800000,22440000,3.3035763064809966
G401_BR1,14,40000,316.0,949,2,248,563,9880000,22520000,3.3110036816065462
G401_BR1,14,40000,316.0,949,2,250,565,9960000,22600000,3.320407282651849
G401_BR1,14,40000,316.0,949,2,252,567,10040000,22680000,3.3188870325145494
G401_BR1,14,40000,316.0,949,2,254,569,10120000,22760000,3.323722483679808
G401_BR1,14,40000,316.0,949,2,256,571,10200000,22840000,3.329771893882148
G401_BR1,14,40000,316.0,949,2,258,573,10280000,22920000,3.331862406792242
G401_BR1,14,40000,316.0,949,2,260,575,10360000,23000000,3.3365938943903104
G401_BR1,14,40000,316.0,949,2,262,577,10440000,23080000,3.344764257057848
G401_BR1,14,40000,316.0,949,2,264,579,10520000,23160000,3.355538452409465
G401_BR1,14,40000,316.0,949,2,266,581,10600000,23240000,3.3638948028942637
G401_BR1,14,40000,316.0,949,2,268,583,10680000,23320000,3.367690026973234
G401_BR1,14,40000,316.0,949,2,270,585,10760000,23400000,3.3701201979754263
G401_BR1,14,40000,316.0,949,2,272,587,10840000,23480000,3.3758457502845567
G401_BR1,14,40000,316.0,949,2,274,589,10920000,23560000,3.3855367723662075
G401_BR1,14,40000,316.0,949,2,276,591,11000000,23640000,3.3881530860206825
G401_BR1,14,40000,316.0,949,2,278,593,11080000,23720000,3.3955519577626356
G401_BR1,14,40000,316.0,949,2,280,595,11160000,23800000,3.399579530996295
G401_BR1,14,40000,316.0,949,2,282,597,11240000,23880000,3.4021357084648924
G401_BR1,14,40000,316.0,949,2,284,599,11320000,23960000,3.406153934842538
G401_BR1,14,40000,316.0,949,2,286,601,11400000,24040000,3.408958221287793
G401_BR1,14,40000,316.0,949,2,288,603,11480000,24120000,3.411662771325632
G401_BR1,14,40000,316.0,949,2,290,605,11560000,24200000,3.4193475549426466
G401_BR1,14,40000,316.0,949,2,292,607,11640000,24280000,3.426204031109412
G401_BR1,14,40000,316.0,949,2,294,609,11720000,24360000,3.4297614752486085
G401_BR1,14,40000,316.0,949,2,296,611,11800000,24440000,3.4312345012372605
G401_BR1,14,40000,316.0,949,2,298,613,11880000,24520000,3.4325745691910163
G401_BR1,14,40000,316.0,949,2,300,615,11960000,24600000,3.434070993734297
G401_BR1,14,40000,316.0,949,2,302,617,12040000,24680000,3.439531891138447
G401_BR1,14,40000,316.0,949,2,304,619,12120000,24760000,3.441525476391087
G401_BR1,14,40000,316.0,949,2,306,621,12200000,24840000,3.440826955461593
G401_BR1,14,40000,316.0,949,2,308,623,12280000,24920000,3.4369237786477806
G401_BR1,14,40000,316.0,949,2,310,625,12360000,25000000,3.4336685599809944
G401_BR1,14,40000,316.0,949,2,312,627,12440000,25080000,3.428900732227599
G401_BR1,14,40000,316.0,949,2,314,629,12520000,25160000,3.4219725596117625
G401_BR1,14,40000,316.0,949,2,316,631,12600000,25240000,3.422478379692043
G401_BR1,14,40000,316.0,949,2,318,633,12680000,25320000,3.4110150225272196
G401_BR1,14,40000,316.0,949,2,320,635,12760000,25400000,3.408634674331348
G401_BR1,14,40000,316.0,949,2,322,637,12840000,25480000,3.409805764526839
G401_BR1,14,40000,316.0,949,2,324,639,12920000,25560000,3.4133202731762076
G401_BR1,14,40000,316.0,949,2,326,641,13000000,25640000,3.4060223009966606
G401_BR1,14,40000,316.0,949,2,328,643,13080000,25720000,3.404538816447528
G401_BR1,14,40000,316.0,949,2,330,645,13160000,25800000,3.4052618292018693
G401_BR1,14,40000,316.0,949,2,332,647,13240000,25880000,3.4033651418087003
G401_BR1,14,40000,316.0,949,2,334,649,13320000,25960000,3.4014428868224176
G401_BR1,14,40000,316.0,949,2,336,651,13400000,26040000,3.3988176327941395
G401_BR1,14,40000,316.0,949,2,338,653,13480000,26120000,3.396311818450546
G401_BR1,14,40000,316.0,949,2,340,655,13560000,26200000,3.3991043738644686
