Name	ChrNr	Resolution	WN	WS	binNrStart	binNrEND	START	END	S
G401_BR1	14	40000	949	2	1	375	0	15000000	3.39298802293101
G401_BR1	14	40000	949	2	3	377	80000	15080000	3.39929098881715
G401_BR1	14	40000	949	2	57	379	2240000	15160000	3.38486517014127
G401_BR1	14	40000	949	2	59	381	2320000	15240000	3.37216032755741
G401_BR1	14	40000	949	2	61	383	2400000	15320000	3.35938623188375
G401_BR1	14	40000	949	2	63	385	2480000	15400000	3.34383881091832
G401_BR1	14	40000	949	2	65	387	2560000	15480000	3.32787844241875
G401_BR1	14	40000	949	2	67	389	2640000	15560000	3.32005405146911
G401_BR1	14	40000	949	2	73	391	2880000	15640000	3.32658203480224
G401_BR1	14	40000	949	2	75	393	2960000	15720000	3.32069258902105
G401_BR1	14	40000	949	2	77	395	3040000	15800000	3.31149476883636
G401_BR1	14	40000	949	2	79	397	3120000	15880000	3.3006486630316
G401_BR1	14	40000	949	2	81	399	3200000	15960000	3.29460258435704
G401_BR1	14	40000	949	2	83	401	3280000	16040000	3.28359244083452
G401_BR1	14	40000	949	2	85	403	3360000	16120000	3.27443674573066
G401_BR1	14	40000	949	2	87	405	3440000	16200000	3.26023179217351
G401_BR1	14	40000	949	2	92	407	3640000	16280000	3.24195259488207
G401_BR1	14	40000	949	2	94	409	3720000	16360000	3.23121107875056
G401_BR1	14	40000	949	2	96	411	3800000	16440000	3.22921558534533
G401_BR1	14	40000	949	2	98	413	3880000	16520000	3.22394542256849
G401_BR1	14	40000	949	2	100	415	3960000	16600000	3.21946392582971
G401_BR1	14	40000	949	2	102	417	4040000	16680000	3.22118107974206
G401_BR1	14	40000	949	2	104	419	4120000	16760000	3.22032739705641
G401_BR1	14	40000	949	2	106	421	4200000	16840000	3.22416334546238
G401_BR1	14	40000	949	2	108	423	4280000	16920000	3.22497127545259
G401_BR1	14	40000	949	2	110	425	4360000	17000000	3.23099472227891
G401_BR1	14	40000	949	2	112	427	4440000	17080000	3.23242154564216
G401_BR1	14	40000	949	2	114	429	4520000	17160000	3.23208983960087
G401_BR1	14	40000	949	2	116	431	4600000	17240000	3.23167489150767
G401_BR1	14	40000	949	2	118	433	4680000	17320000	3.23459252831069
G401_BR1	14	40000	949	2	120	435	4760000	17400000	3.23466007910798
G401_BR1	14	40000	949	2	122	437	4840000	17480000	3.23379521915755
G401_BR1	14	40000	949	2	124	439	4920000	17560000	3.22825303105077
G401_BR1	14	40000	949	2	126	441	5000000	17640000	3.22317505007736
G401_BR1	14	40000	949	2	128	443	5080000	17720000	3.22540075503984
G401_BR1	14	40000	949	2	130	445	5160000	17800000	3.22352511364481
G401_BR1	14	40000	949	2	132	447	5240000	17880000	3.22184187956228
G401_BR1	14	40000	949	2	134	449	5320000	17960000	3.22145172548869
G401_BR1	14	40000	949	2	136	451	5400000	18040000	3.21492004325742
G401_BR1	14	40000	949	2	138	453	5480000	18120000	3.21293984953973
G401_BR1	14	40000	949	2	140	455	5560000	18200000	3.20824160443647
G401_BR1	14	40000	949	2	142	457	5640000	18280000	3.20362457327536
G401_BR1	14	40000	949	2	144	459	5720000	18360000	3.20544704862908
G401_BR1	14	40000	949	2	146	461	5800000	18440000	3.20144797271475
G401_BR1	14	40000	949	2	148	463	5880000	18520000	3.20606478231256
G401_BR1	14	40000	949	2	150	465	5960000	18600000	3.21046010443041
G401_BR1	14	40000	949	2	152	467	6040000	18680000	3.21544608186356
G401_BR1	14	40000	949	2	154	469	6120000	18760000	3.21974741677041
G401_BR1	14	40000	949	2	156	471	6200000	18840000	3.22509225999134
G401_BR1	14	40000	949	2	158	473	6280000	18920000	3.22963251953342
G401_BR1	14	40000	949	2	160	475	6360000	19000000	3.23307699993519
G401_BR1	14	40000	949	2	162	477	6440000	19080000	3.23539606886223
G401_BR1	14	40000	949	2	164	479	6520000	19160000	3.23788668995581
G401_BR1	14	40000	949	2	166	481	6600000	19240000	3.24370594869021
G401_BR1	14	40000	949	2	168	483	6680000	19320000	3.24549385787486
G401_BR1	14	40000	949	2	170	485	6760000	19400000	3.24356043569494
G401_BR1	14	40000	949	2	172	487	6840000	19480000	3.23649042694436
G401_BR1	14	40000	949	2	174	489	6920000	19560000	3.23520887033247
G401_BR1	14	40000	949	2	176	491	7000000	19640000	3.23822674228483
G401_BR1	14	40000	949	2	178	493	7080000	19720000	3.23306015049895
G401_BR1	14	40000	949	2	180	495	7160000	19800000	3.23365350684335
G401_BR1	14	40000	949	2	182	497	7240000	19880000	3.2339492583103
G401_BR1	14	40000	949	2	184	499	7320000	19960000	3.24082585655802
G401_BR1	14	40000	949	2	186	501	7400000	20040000	3.24768753181363
G401_BR1	14	40000	949	2	188	503	7480000	20120000	3.2560419243826
G401_BR1	14	40000	949	2	190	505	7560000	20200000	3.2680270209398
G401_BR1	14	40000	949	2	192	507	7640000	20280000	3.27863130439962
G401_BR1	14	40000	949	2	194	509	7720000	20360000	3.2856430046256
G401_BR1	14	40000	949	2	196	511	7800000	20440000	3.28991586141452
G401_BR1	14	40000	949	2	198	513	7880000	20520000	3.28934556667707
G401_BR1	14	40000	949	2	200	515	7960000	20600000	3.29017236859611
G401_BR1	14	40000	949	2	202	517	8040000	20680000	3.29420414352219
G401_BR1	14	40000	949	2	204	519	8120000	20760000	3.29984522722438
G401_BR1	14	40000	949	2	206	521	8200000	20840000	3.30047612645721
G401_BR1	14	40000	949	2	208	523	8280000	20920000	3.29966638906091
G401_BR1	14	40000	949	2	210	525	8360000	21000000	3.29584429488028
G401_BR1	14	40000	949	2	212	527	8440000	21080000	3.28850333071944
G401_BR1	14	40000	949	2	214	529	8520000	21160000	3.27764486602114
G401_BR1	14	40000	949	2	216	531	8600000	21240000	3.26891994774952
G401_BR1	14	40000	949	2	218	533	8680000	21320000	3.26509978198821
G401_BR1	14	40000	949	2	220	535	8760000	21400000	3.26546943596755
G401_BR1	14	40000	949	2	222	537	8840000	21480000	3.26345196877278
G401_BR1	14	40000	949	2	224	539	8920000	21560000	3.25945766991762
G401_BR1	14	40000	949	2	226	541	9000000	21640000	3.25298839230445
G401_BR1	14	40000	949	2	228	543	9080000	21720000	3.24775513656157
G401_BR1	14	40000	949	2	230	545	9160000	21800000	3.24732941780479
G401_BR1	14	40000	949	2	232	547	9240000	21880000	3.2422277672683
G401_BR1	14	40000	949	2	234	549	9320000	21960000	3.24820990967453
G401_BR1	14	40000	949	2	236	551	9400000	22040000	3.25478868667141
G401_BR1	14	40000	949	2	238	553	9480000	22120000	3.26534287998696
G401_BR1	14	40000	949	2	240	555	9560000	22200000	3.27185256161396
G401_BR1	14	40000	949	2	242	557	9640000	22280000	3.27926300579473
G401_BR1	14	40000	949	2	244	559	9720000	22360000	3.29225076373172
G401_BR1	14	40000	949	2	246	561	9800000	22440000	3.303576306481
G401_BR1	14	40000	949	2	248	563	9880000	22520000	3.31100368160655
G401_BR1	14	40000	949	2	250	565	9960000	22600000	3.32040728265185
G401_BR1	14	40000	949	2	252	567	10040000	22680000	3.31888703251455
G401_BR1	14	40000	949	2	254	569	10120000	22760000	3.32372248367981
